Name of District,Average Soilmoisture Level (at 15cm),Average SoilMoisture Volume (at 15cm),Aggregate Soilmoisture Percentage (at 15cm),Volume Soilmoisture percentage (at 15cm)
ARIYALUR,0,206.07,0,19.74637918
ARIYALUR,0,207.42,0,19.87567551
ARIYALUR,0,208.96,0,20.02283764
ARIYALUR,0,210.43,0,20.16406578
ARIYALUR,0,211.89,0,20.30406377
ARIYALUR,0,213.49,0,20.45728748
ARIYALUR,0,214.98,0,20.59965387
ARIYALUR,0,216.8,0,20.77376783
ARIYALUR,0,218.74,0,20.9598307
ARIYALUR,0,220.06,0,21.08640051
ARIYALUR,0,221.59,0,21.23348959
ARIYALUR,0,223.25,0,21.39268105
ARIYALUR,0,224.04,0,21.46834855
ARIYALUR,0,214.22,0,20.52734013
ARIYALUR,0,215.94,0,20.69203735
ARIYALUR,0,217.87,0,20.87638802
ARIYALUR,0,220.06,0,21.08663975
ARIYALUR,0,221.24,0,21.19955139
ARIYALUR,0,223.69,0,21.43479604
ARIYALUR,0,228.41,0,21.88682503
ARIYALUR,0,230.86,0,22.12127509
ARIYALUR,0,233.4,0,22.36489367
ARIYALUR,0,236.05,0,22.61856373
ARIYALUR,0,238.8,0,22.88190466
ARIYALUR,0,241.68,0,23.15844445
ARIYALUR,7.73,249.57,63.01,23.91395051
ARIYALUR,7.79,259.28,63.52,24.8449383
ARIYALUR,7.84,268.61,63.91,25.73843813
ARIYALUR,7.9,276.64,64.33,26.50852876
ARIYALUR,7.96,281.85,64.82,27.0073737
ARIYALUR,8.02,293.05,65.32,28.08031757
ARIYALUR,0,190.59,0,18.26281927
ARIYALUR,0,190.6,0,18.26366199
ARIYALUR,0,190.77,0,18.27957578
ARIYALUR,0,190.89,0,18.29136146
ARIYALUR,0,191.09,0,18.31097194
ARIYALUR,0,191.28,0,18.328548
ARIYALUR,0,191.46,0,18.34612143
ARIYALUR,0,191.7,0,18.36913555
ARIYALUR,0,192.03,0,18.40065858
ARIYALUR,0,192.25,0,18.42217784
ARIYALUR,0,192.5,0,18.44572931
ARIYALUR,0,192.94,0,18.4880716
ARIYALUR,0,193.36,0,18.52804758
ARIYALUR,0,193.75,0,18.56576443
ARIYALUR,0,194.26,0,18.61471197
ARIYALUR,0,194.74,0,18.66072847
ARIYALUR,0,195.28,0,18.71223636
ARIYALUR,0,195.87,0,18.76857472
ARIYALUR,0,196.42,0,18.82175567
ARIYALUR,0,197.06,0,18.88260477
ARIYALUR,0,197.72,0,18.9461091
ARIYALUR,0,199.03,0,19.07098721
ARIYALUR,0,199.41,0,19.10781127
ARIYALUR,0,199.98,0,19.16206949
ARIYALUR,0,200.77,0,19.2380571
ARIYALUR,0,208.99,0,20.02618408
ARIYALUR,0,202.62,0,19.41504054
ARIYALUR,0,203.66,0,19.51477775
ARIYALUR,0,204.86,0,19.63043883
ARIYALUR,0,189.18,0,18.12774598
ARIYALUR,0,189.22,0,18.13127445
ARIYALUR,0,189.23,0,18.13243169
ARIYALUR,0,189.25,0,18.13458742
ARIYALUR,0,189.28,0,18.13716555
ARIYALUR,0,189.31,0,18.13996509
ARIYALUR,0,189.34,0,18.14286879
ARIYALUR,0,189.34,0,18.14296455
ARIYALUR,0,189.39,0,18.14773959
